Variable/Field Name,Matrix Group Name,Minimal (Required),Mandatory,Section,Field Type,Label,Code,Default,Validation Type,Validation Min,Validation Max,Field Note,Branching Logic,FHIR Resource,FHIR - Question Coding,FHIR - Answer Coding,Note
record_id,,Yes,Yes,,text,Patient ID,,,,,,,,Patient,,,
sex,,Yes,Yes,Observation,dropdown,Sex,0; male | 1; female,,,,,MINIMAL,,Observation,"{""system"": ""http://loinc.org"",""code"": ""76689-9"",""display"": ""Sex assigned at birth""}","{0: {""system"":""http://loinc.org"",""code"":""LA2-8"",""display"":""Male""}, 1: {""system"":""http://loinc.org"",""code"":""LA3-6"",""display"":""Female""}}",
onsetage,,Yes,Yes,Condition,text,Age at diagnosis,,,integer,0,110,MINIMAL,,Condition,"[""onsetage"" ]","{""value"":onsetage,""unit"":""years"",""code"":""a"",""system"":""http://unitsofmeasure.org""}",
indeterm_nodule,,Yes,Yes,Condition,dropdown,Histopathological diagnosis for indeterminate nodules.,0; HCC | 1; Non-HCC,,,,,MINIMAL,,Condition,"[""verificationStatus""]","{0:{""system"":""http://terminology.hl7.org/CodeSystem/condition-ver-status"",""code"":""confirmed"",""display"":""Confirmed""},1:{""system"":""http://terminology.hl7.org/CodeSystem/condition-ver-status"",""code"":""refuted"",""display"":""Refuted""}}",
diag_method,,No,Yes,Condition,dropdown,Diagnosis made by histopathology or imaging,0; histopathology | 1; imaging,,,,,MANDATORY,,Condition,"[""evidence""]","{0:{""system"":""http://snomed.info/sct"",""code"":""394597005"",""display"":""Histopathology (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""360037004"",""display"":""Imaging - action (qualifier value)""}}",
hep_b,etiology (start),No,Yes,Observation - MANDATORY,radio,Hepatitis B status HbsAg,0; positive | 1; negative | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""365863005"",""display"":""Finding of Hepatitis B status (finding)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""10828004"",""display"":""Positive""},1:{""system"":""http://snomed.info/sct"",""code"":""260385009"",""display"":""Negative""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
hep_c,etiology,No,Yes,Observation - MANDATORY,radio,Hepatitis C status HCV,0; positive | 1; negative | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""365865003"",""display"":""Finding of Hepatitis C status (finding)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""10828004"",""display"":""Positive""},1:{""system"":""http://snomed.info/sct"",""code"":""260385009"",""display"":""Negative""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
ald,etiology,No,Yes,Observation - MANDATORY,radio,Alcoholic liver disease,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""41309000"",""display"":""Alcoholic liver damage (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
autoimm_hep,etiology,No,Yes,Observation - MANDATORY,radio,Autoimmune hepatitis,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""408335007"",""display"":""Autoimmune hepatitis (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
nafld,etiology,No,Yes,Observation - MANDATORY,radio,nonalcoholic fatty liver disease (NAFLD),0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1231824009"",""display"":""Non-alcoholic fatty liver disease (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
