Variable/Field Name,Matrix Group Name,Minimal (Required),Mandatory,Section,Field Type,Label,Code,Default,Validation Type,Validation Min,Validation Max,Field Note,Branching Logic,FHIR Resource,FHIR - Question Coding,FHIR - Answer Coding,Note
record_id,,Yes,Yes,,text,Patient ID,,,,,,,,Patient,,,
sex,,Yes,Yes,Observation,dropdown,Sex,0; male | 1; female,,,,,MINIMAL,,Observation,"{""system"": ""http://loinc.org"",""code"": ""76689-9"",""display"": ""Sex assigned at birth""}","{0: {""system"":""http://loinc.org"",""code"":""LA2-8"",""display"":""Male""}, 1: {""system"":""http://loinc.org"",""code"":""LA3-6"",""display"":""Female""}}",
onsetage,,Yes,Yes,Condition,text,Age at diagnosis,,,integer,0,110,MINIMAL,,Condition,"[""onsetage"" ]","{""value"":onsetage,""unit"":""years"",""code"":""a"",""system"":""http://unitsofmeasure.org""}",
histopat,,Yes,Yes,Condition,dropdown,Histological type of liver lesion,0; colorectal liver metastases (CRLM) | 1; other lesions | 2; no lesions,,,,,MINIMAL,,Condition,"[""code"":{""coding"":histopat}","{0:{""system"":""http://snomed.info/sct"",""code"":""94381002:260716003=93761005"",""display"":""Secondary malignant neoplasm of liver where Site of primary tumour = Primary malignant neoplasm of colon""},1:{""system"":""http://snomed.info/sct"",""code"":""52988006:410657003=74964007"",""display"":""Lesion where Type - attribute = Other""},2:{""system"":""http://snomed.info/sct"",""code"":""52988006:410657003=260415000"",""display"":""Lesion where Type - = Not detected""}}",
diag_method,,No,Yes,Condition,dropdown,Diagnosis made by histopathology or imaging,0; histopathology | 1; imaging,,,,,MANDATORY,,Condition,"[""evidence""]=[{""code"":[{""coding"":[diag_method]}]}]","{0:{""system"":""http://snomed.info/sct"",""code"":""394597005"",""display"":""Histopathology (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""360037004"",""display"":""Imaging - action (qualifier value)""}}",
comorb_present,comorb (parent),No,Yes,Observation,dropdown,Comorbidity - any other oncology diagnosis or liver disease,0; yes | 1; no | 2; unknown,,,,,THIS FIELD IS MANDATORY. NEXT ONES ARE RECOMMENDED,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""398192003"",""display"":""Co-morbid conditions (finding)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
bca,comorb,No,No,Observation,radio,Biliary cystadenoma,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"", ""code"":""448997008"",""display"":""Cystadenoma of liver (disorder)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
biloma,comorb,No,No,Observation,radio,Biloma,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""445137006"",""display"":""Intraabdominal bile collection""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
cca,comorb,No,No,Observation,radio,Cholangiocarcinomas (bile duct cancers),0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""70179006"",""display"":""Cholangiocarcinoma (morphologic abnormality)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
dn,comorb,No,No,Observation,radio,Dysplastic liver nodule,0; yes | 1; no | 2; unknown,2,,,,,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""448149008"",""display"":""Dysplastic nodule (morphologic abnormality)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
