Variable/Field Name,Matrix Group Name,Minimal (Required),Mandatory,Section,Field Type,Label,Code,Default,Validation Type,Validation Min,Validation Max,Field Note,Branching Logic,FHIR Resource,FHIR - Question Coding,FHIR - Answer Coding,Note
record_id,,Yes,Yes,,text,Patient ID,,,,,,,,Patient,,,
sex,,Yes,Yes,Observation,dropdown,Sex,0; male | 1; female,,,,,MINIMAL,,Observation,"{""system"": ""http://loinc.org"",""code"": ""76689-9"",""display"": ""Sex assigned at birth""}","{0: {""system"":""http://loinc.org"",""code"":""LA2-8"",""display"":""Male""}, 1: {""system"":""http://loinc.org"",""code"":""LA3-6"",""display"":""Female""}}",
onsetage,,Yes,Yes,Condition,text,Age at diagnosis,,,integer,0,110,MINIMAL,,Condition,"[""onsetage"" ]","{""value"":onsetage,""unit"":""years"",""code"":""a"",""system"":""http://unitsofmeasure.org""}",
histopat,,Yes,Yes,Condition,dropdown,Histological Type of tumour,0; Adenocarcinoma NOS | 1; Mixed adenocarcinoma & Mucinous | 2; Mixed neuroendocrine-non-neuroendocrine neoplasm (MiNEN) | 3; Mucinous | 4; Neuroendocrine NOS,,,,,MINIMAL,,Condition,"[""code"":{""coding"":histopat}","{0:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8140/3"",""display"":""Adenocarcinoma NOS""},1:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8246/3"",""display"":""Neuroendocrine Carcinoma, NOS""},2:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8154/3"",""display"":""Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)""},3:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8480/3"",""display"":""Mucinous adenocarcinoma""},4:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8255/3"",""display"":""Adenocarcinoma with mixed subtypes""}}",
histopat_2,,No,No,Condition,dropdown,Additional Histological Type of tumour (only if needed),0; Adenocarcinoma NOS | 1; Mixed adenocarcinoma & Mucinous | 2; Mixed neuroendocrine-non-neuroendocrine neoplasm (MiNEN) | 3; Mucinous | 4; Neuroendocrine NOS,,,,,RECOMMENDED,"[histopat] <> """"",Condition,"[""code"":{""coding"":histopat_2}","{0:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8140/3"",""display"":""Adenocarcinoma NOS""},1:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8246/3"",""display"":""Neuroendocrine Carcinoma, NOS""},2:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8154/3"",""display"":""Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)""},3:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8480/3"",""display"":""Mucinous adenocarcinoma""},4:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8255/3"",""display"":""Adenocarcinoma with mixed subtypes""}}",
histopat_3,,No,No,Condition,dropdown,Additional Histological Type of tumour (only if needed),0; Adenocarcinoma NOS | 1; Mixed adenocarcinoma & Mucinous | 2; Mixed neuroendocrine-non-neuroendocrine neoplasm (MiNEN) | 3; Mucinous | 4; Neuroendocrine NOS,,,,,RECOMMENDED,"[histopat_2] <> """"",Condition,"[""code"":{""coding"":histopat_3}","{0:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8140/3"",""display"":""Adenocarcinoma NOS""},1:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8246/3"",""display"":""Neuroendocrine Carcinoma, NOS""},2:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8154/3"",""display"":""Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)""},3:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8480/3"",""display"":""Mucinous adenocarcinoma""},4:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8255/3"",""display"":""Adenocarcinoma with mixed subtypes""}}",
tnm_ct,,Yes,Yes,Observation,dropdown,Clinical t category (cT),0; cTX | 1; cT0 | 2; cTis | 3; cT1 | 4; cT2 | 5; cT3 | 6; cT4 | 7; cT4a | 8; cT4b,,,,,MINIMAL,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222585009"",""display"":""American Joint Committee on Cancer clinical T category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1222604002"",""display"":""cTX""},1:{""system"":""http://snomed.info/sct"",""code"":""1228882005"",""display"":""cT0""},2:{""system"":""http://snomed.info/sct"",""code"":""1228884006"",""display"":""cTis""},3:{""system"":""http://snomed.info/sct"",""code"":""1228889001"",""display"":""cT1""},4:{""system"":""http://snomed.info/sct"",""code"":""1228929004"",""display"":""cT2""},5:{""system"":""http://snomed.info/sct"",""code"":""1228938002"",""display"":""cT3""},6:{""system"":""http://snomed.info/sct"",""code"":""1228944003"",""display"":""cT4""},7:{""system"":""http://snomed.info/sct"",""code"":""1228945002"",""display"":""cT4a""},8:{""system"":""http://snomed.info/sct"",""code"":""1228946001"",""display"":""cT4b""}}",
tnm_ypt,ptnm (start),No,Yes,Observation,dropdown,Pathological t category (ypT),0; pTX | 1; pT0 | 2; pTis | 3; pT1 | 4; pT2 | 5; pT3 | 6; pT4 | 7; pT4a | 8; pT4b,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222589003"",""display"":""American Joint Committee on Cancer pathological T category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1228950008"",""display"":""pTx""},1:{""system"":""http://snomed.info/sct"",""code"":""1228951007"",""display"":""pT0""},2:{""system"":""http://snomed.info/sct"",""code"":""1228953005"",""display"":""pTis""},3:{""system"":""http://snomed.info/sct"",""code"":""1228957006"",""display"":""pT1""},4:{""system"":""http://snomed.info/sct"",""code"":""1229852009"",""display"":""pT2""},5:{""system"":""http://snomed.info/sct"",""code"":""1229859000"",""display"":""pT3""},6:{""system"":""http://snomed.info/sct"",""code"":""1229864001"",""display"":""pT4""},7:{""system"":""http://snomed.info/sct"",""code"":""1229865000"",""display"":""pT4a""},8:{""system"":""http://snomed.info/sct"",""code"":""1229866004"",""display"":""pT4b""}}",
tnm_ypn,ptnm,No,Yes,Observation,dropdown,Pathological n category (ypN),0; pNX | 1; pN0 | 2; pN1 | 3; pN2,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222590007"",""display"":""American Joint Committee on Cancer pathological N category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1229945006"",""display"":""pNX""},1:{""system"":""http://snomed.info/sct"",""code"":""1229947003"",""display"":""pN0""},2:{""system"":""http://snomed.info/sct"",""code"":""1229951001"",""display"":""pN1""},3:{""system"":""http://snomed.info/sct"",""code"":""1229957002"",""display"":""pN2""}}",
tnm_ypm,ptnm (end),No,Yes,Observation,dropdown,Pathological m category (ypM),0; pM0 | 1; pM1 | 2; pM1a | 3; pM1b | 4; pM1c,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222591006"",""display"":""American Joint Committee on Cancer pathological M category allowable value (qualifier value)""}","{0:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C48740"",""display"":""pM0 TNM Finding""},1:{""system"":""http://snomed.info/sct"",""code"":""1229916009"",""display"":""pM1""},2:{""system"":""http://snomed.info/sct"",""code"":""1229917000"",""display"":""pM1a""},3:{""system"":""http://snomed.info/sct"",""code"":""1229920008"",""display"":""pM1b""},4:{""system"":""http://snomed.info/sct"",""code"":""1229923005"",""display"":""pM1c""}}",
