Variable/Field Name,Matrix Group Name,Minimal (Required),Mandatory,Section,Field Type,Label,Code,Default,Validation Type,Validation Min,Validation Max,Field Note,Branching Logic,FHIR Resource,FHIR - Question Coding,FHIR - Answer Coding,Note
record_id,,Yes,Yes,,text,Patient ID,,,,,,,,Patient,,,
sex,,Yes,Yes,Observation,dropdown,Sex,0; male | 1; female,1,,,,MINIMAL,,Observation,"{""system"": ""http://loinc.org"",""code"": ""76689-9"",""display"": ""Sex assigned at birth""}","{0: {""system"":""http://loinc.org"",""code"":""LA2-8"",""display"":""Male""}, 1: {""system"":""http://loinc.org"",""code"":""LA3-6"",""display"":""Female""}}",
onsetage,,Yes,Yes,Condition,text,Age at diagnosis,,,integer,0,110,MINIMAL,,Condition,"[""onsetage"" ]","{""value"":onsetage,""unit"":""years"",""code"":""a"",""system"":""http://unitsofmeasure.org""}",
patientclass,,Yes,Yes,Condition,dropdown,Class of patient,0; Cancer | 1; Benign | 2; Normal,,,,,MINIMAL,,Condition,"""code"":{""coding"":[patientclass]}","{0:{""system"":""http://snomed.info/sct"",""code"":""93796005"",""display"":""Primary malignant neoplasm of female breast""},1:{""system"":""http://snomed.info/sct"",""code"":""3898006"",""display"":""Neoplasm, benign (morphologic abnormality)""},2:{""system"":""http://snomed.info/sct"",""code"":""17621005"",""display"":""Normal (qualifier value)""}}",
menop,,No,Yes,Observation,dropdown,Menopausal status,0; premenopause | 1; postmenopause,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""161712005"",""display"":""Menopause, function (observable entity)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""289904000"",""display"":""Menopause absent (finding)""},1:{""system"":""http://snomed.info/sct"",""code"":""289903006"",""display"":""Menopause present (finding)""}}",
n_preg,,No,No,Observation,text,Number of pregnancies,,,integer,,,RECOMMENDED,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""161732006"",""display"":""Gravida (observable entity)""}","{""value"":n_preg,""unit"":""Unit"",""system"":""http://unitsofmeasure.org"",""code"":""U""}",
lactation,,No,No,Observation,dropdown,Breastfeeding,0; yes | 1; no | 2; unknown,2,,,,RECOMMENDED,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""169741004"",""display"":""Breast fed (finding)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
lactation_dur,,No,No,Observation,text,Length of breastfeeding (months),,,integer,,,RECOMMENDED,"[lactation] = ""0""",Observation,"[""effectivePeriod""]","{""start"":1970-01-01T00:00:00+00:00,end:""start""+lactation_dur}",effectivePeriod variable has anonymized dates. The duration is the difference in time between both dates.
symptoms,,No,Yes,Observation,dropdown,Symptoms,0; yes | 1; no | 2; unknown,2,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""198116001"",""display"":""Breast signs and symptoms (finding)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
screening,,Yes,Yes,Observation,dropdown,Screening images,0; yes | 1; no | 2; unknown,2,,,,MINIMAL,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""609223006"",""display"":""Magnetic resonance imaging of breast for screening for malignant neoplasm (procedure)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""373066001"",""display"":""Yes""},1:{""system"":""http://snomed.info/sct"",""code"":""260415000"",""display"":""Not detected""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown""}}",
